user_id,email,password,full_name,role,phone_number,student_number,verification_status,verification_method,invite_code_used,verified_at,school_class_id,class_label,course_id,teacher_id,teacher_name,teacher_email,subject_name,grade_level
6916797e-36e4-5167-a905-73ae531b89b6,student001@socrateach.school,SocraTeachStudent!2026,김서윤,student,,01,verified,invite_code,STD-CZPIUEXJ,2026-04-11T23:45:51.657126+00:00,49922535-bc71-5356-9a4f-0b3493d3e1bb,중1 1반,3a3a86bc-3fce-5d83-abb8-7a30489301bb,8caca1f6-3222-5a34-94cf-c188bb982efc,김서윤,teacher01@socrateach.school,도덕,"중1,중2,중3"
2b4ff4f8-5a9b-570f-bef4-e51c6c783eb4,student002@socrateach.school,SocraTeachStudent!2026,이서윤,student,,02,verified,invite_code,STD-CZPIUEXJ,2026-04-11T23:45:51.754213+00:00,49922535-bc71-5356-9a4f-0b3493d3e1bb,중1 1반,3a3a86bc-3fce-5d83-abb8-7a30489301bb,8caca1f6-3222-5a34-94cf-c188bb982efc,김서윤,teacher01@socrateach.school,도덕,"중1,중2,중3"
7e499a4b-eb9f-5181-9af3-29ee0c2c56fd,student003@socrateach.school,SocraTeachStudent!2026,박서윤,student,,03,verified,invite_code,STD-CZPIUEXJ,2026-04-11T23:45:51.849874+00:00,49922535-bc71-5356-9a4f-0b3493d3e1bb,중1 1반,3a3a86bc-3fce-5d83-abb8-7a30489301bb,8caca1f6-3222-5a34-94cf-c188bb982efc,김서윤,teacher01@socrateach.school,도덕,"중1,중2,중3"
ffd5a3ca-1c39-58da-a068-6bbcb1cd6cc5,student004@socrateach.school,SocraTeachStudent!2026,최서윤,student,,04,verified,invite_code,STD-CZPIUEXJ,2026-04-11T23:45:51.946645+00:00,49922535-bc71-5356-9a4f-0b3493d3e1bb,중1 1반,3a3a86bc-3fce-5d83-abb8-7a30489301bb,8caca1f6-3222-5a34-94cf-c188bb982efc,김서윤,teacher01@socrateach.school,도덕,"중1,중2,중3"
a8a81365-9946-5394-b492-cc3990e14c51,student005@socrateach.school,SocraTeachStudent!2026,정서윤,student,,05,verified,invite_code,STD-CZPIUEXJ,2026-04-11T23:45:52.047736+00:00,49922535-bc71-5356-9a4f-0b3493d3e1bb,중1 1반,3a3a86bc-3fce-5d83-abb8-7a30489301bb,8caca1f6-3222-5a34-94cf-c188bb982efc,김서윤,teacher01@socrateach.school,도덕,"중1,중2,중3"
93a02492-2466-58ca-9038-f2039eb9028b,student006@socrateach.school,SocraTeachStudent!2026,강서윤,student,,06,verified,invite_code,STD-CZPIUEXJ,2026-04-11T23:45:52.166037+00:00,49922535-bc71-5356-9a4f-0b3493d3e1bb,중1 1반,3a3a86bc-3fce-5d83-abb8-7a30489301bb,8caca1f6-3222-5a34-94cf-c188bb982efc,김서윤,teacher01@socrateach.school,도덕,"중1,중2,중3"
5452920a-b662-5c53-aa36-22b6d52d96d0,student007@socrateach.school,SocraTeachStudent!2026,조서윤,student,,07,verified,invite_code,STD-CZPIUEXJ,2026-04-11T23:45:52.266588+00:00,49922535-bc71-5356-9a4f-0b3493d3e1bb,중1 1반,3a3a86bc-3fce-5d83-abb8-7a30489301bb,8caca1f6-3222-5a34-94cf-c188bb982efc,김서윤,teacher01@socrateach.school,도덕,"중1,중2,중3"
18617f46-e1ac-5e77-b54f-1209aad7bedf,student008@socrateach.school,SocraTeachStudent!2026,윤서윤,student,,08,verified,invite_code,STD-CZPIUEXJ,2026-04-11T23:45:52.365684+00:00,49922535-bc71-5356-9a4f-0b3493d3e1bb,중1 1반,3a3a86bc-3fce-5d83-abb8-7a30489301bb,8caca1f6-3222-5a34-94cf-c188bb982efc,김서윤,teacher01@socrateach.school,도덕,"중1,중2,중3"
bcc2caec-723a-5680-bf2a-f627026f947d,student009@socrateach.school,SocraTeachStudent!2026,장서윤,student,,09,verified,invite_code,STD-CZPIUEXJ,2026-04-11T23:45:52.466523+00:00,49922535-bc71-5356-9a4f-0b3493d3e1bb,중1 1반,3a3a86bc-3fce-5d83-abb8-7a30489301bb,8caca1f6-3222-5a34-94cf-c188bb982efc,김서윤,teacher01@socrateach.school,도덕,"중1,중2,중3"
b5f4f7a1-20a5-5d19-a701-6017e191220c,student010@socrateach.school,SocraTeachStudent!2026,임서윤,student,,10,verified,invite_code,STD-CZPIUEXJ,2026-04-11T23:45:52.560251+00:00,49922535-bc71-5356-9a4f-0b3493d3e1bb,중1 1반,3a3a86bc-3fce-5d83-abb8-7a30489301bb,8caca1f6-3222-5a34-94cf-c188bb982efc,김서윤,teacher01@socrateach.school,도덕,"중1,중2,중3"
